trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.4239999999999995}",20,5,14.200062276131414,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.4179999999999995}",20,4,-69.5103366685036,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.4119999999999995}",20,0,-52.26905369717044,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.4059999999999995}",20,13,3.839430998794045,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,0,17.426278077369517,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.39399999999999946}",20,15,7.400163617719097,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.38799999999999946}",35,0,-55.857654128839584,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.38199999999999945}",20,5,-30.86226764080644,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.37599999999999945}",20,9,-24.47075021110546,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,0,-98.76901952021348,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.36399999999999944}",30,12,-71.51922199005479,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.35799999999999943}",35,23,23.50110257710276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3519999999999994}",35,7,-74.26013088959203,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.3459999999999994}",20,10,-22.52275173253475,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.3399999999999994}",35,17,-23.17059371410719,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3339999999999994}",25,0,-45.38856032789002,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.3279999999999994}",25,4,-45.73255567390967,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3219999999999994}",30,12,-49.256419562264526,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.3159999999999994}",30,0,-2.2934310510559452,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,0,-28.32616531753,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
